mac,total_queries,unique_domains,domain_diversity_ratio,qtype_1_count,qtype_28_count,qtype_other_count,qtype_1_ratio,qtype_28_ratio,active_hours,active_days,time_span_seconds,time_span_hours,queries_per_hour,avg_query_interval,std_query_interval,min_query_interval,max_query_interval,median_query_interval,top_domain_frequency,top_domain_ratio,peak_hour_queries,peak_hour_ratio,domain_entropy,query_burstiness,weekend_query_ratio
1093ef9de22486f357396c5b0c37beb4,4242,275,0.06482791136256483,4228,5,9,0.9966996699669967,0.0011786892975011788,24,4,1274358,353.98833333333334,11.983445782111463,300.48526290969113,15786.834034440653,0.0,1023709.0,0.0,1213,0.28595002357378596,758,0.17868929750117868,5.715396376697085,52.53779796577006,0.37505893446487504
19b2ec9332c33b73e12691408646795b,28,1,0.03571428571428571,28,0,0,1.0,0.0,2,7,2164664,601.2955555555556,0.04656611834446362,80172.74074074074,22453.535042209674,0.0,86407.0,86402.0,28,1.0,20,0.7142857142857143,-1.4426951601859516e-10,0.280064456257258,0.2857142857142857
20979bf8e363e1bae629cdb88fd16668,132,4,0.030303030303030304,132,0,0,1.0,0.0,6,7,2139860,594.4055555555556,0.2220706027497126,16334.809160305344,14726.902427511834,0.0,48002.0,21605.0,101,0.7651515151515151,53,0.4015151515151515,0.9412410140957058,0.9015656248558551,0.3106060606060606
20bf46bf76672bb70f9ab950cf8683fe,64026,2818,0.04401336956861275,43754,897,19375,0.6833786274326055,0.014009933464530035,23,7,2079967,577.7686111111111,110.81598890751633,32.48679422100742,759.2178183662438,0.0,51379.0,0.0,3001,0.04687158341923593,10182,0.1590291444100834,9.177951684812385,23.370044246326387,0.45606472370599443
3696c9ac3bd67ac15243a7cd8d87311c,3742,342,0.09139497594869055,2864,878,0,0.7653661143773384,0.2346338856226617,24,3,334845,93.0125,40.23115172691843,89.50681635926223,3683.1581324496506,0.0,225246.0,19.0,609,0.1627471940138963,547,0.1461785141635489,6.265937401523518,41.14947087008658,0.0
4bc0fc5f5be98bae321ba875a00648f4,1,1,1.0,1,0,0,1.0,0.0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,-1.4426951601859516e-10,0.0,1.0
52ae3201e404dd54128825af2428aef9,11417,193,0.01690461592362267,10304,1113,0,0.9025137952176578,0.09748620478234211,18,7,2076515,576.8097222222223,19.793355694517015,181.89514716187807,2741.4684540234466,0.0,127058.0,0.0,1363,0.11938337566786371,1348,0.11806954541473241,4.8473492069329565,15.071696506469573,0.4489795918367347
553a2f9f4acbd6c8c6388196456d1fea,4,1,0.25,2,2,0,0.5,0.5,1,1,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4,1.0,4,1.0,-1.4426951601859516e-10,0.0,0.0
6370ee5df0bb99b34e9ab2aa8e6d2096,1195,61,0.05104602510460251,863,332,0,0.7221757322175733,0.2778242677824268,7,1,30678,8.521666666666667,140.2307842753765,25.693467336683415,424.37214390270054,0.0,14230.0,0.0,192,0.1606694560669456,303,0.2535564853556485,4.493623494078971,16.51673315795764,0.0
6480adc9953c9bfaa1ee667b61f0d39c,1,1,1.0,1,0,0,1.0,0.0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1,1.0,-1.4426951601859516e-10,0.0,0.0
660e6556a550d532d9862644e3697a0a,109553,1752,0.015992259454328042,44824,28342,36387,0.40915356037716905,0.2587058318804597,24,3,1500815,416.8930555555556,262.7844204648807,13.69956732875712,2412.1633636683655,0.0,594601.0,0.0,5422,0.04949202669027777,13821,0.12615811525015289,7.847000592021038,176.07587931663582,0.0
770afbc39c2a0e683d959bc9a66c91f6,1914,218,0.11389759665621735,1757,22,135,0.9179728317659352,0.011494252873563218,15,3,1115896,309.9711111111111,6.174768974886549,583.3225300575014,24407.11573888693,0.0,1067534.0,0.0,306,0.15987460815047022,493,0.25757575757575757,6.19162523275095,41.841544739375976,0.5658307210031348
