feature,importance,importance_pct
total_queries,0.12715557741096703,12.715557741096703
peak_hour_queries,0.11447730344498445,11.447730344498446
qtype_1_count,0.10297739040071739,10.29773904007174
queries_per_hour,0.06352844321826191,6.352844321826192
qtype_other_count,0.06103604069959636,6.103604069959636
avg_query_interval,0.061009481038678356,6.100948103867836
qtype_28_count,0.058220048076732894,5.82200480767329
top_domain_frequency,0.05633349965084972,5.633349965084972
std_query_interval,0.04763195434385663,4.763195434385663
peak_hour_ratio,0.0445773118510118,4.45773118510118
unique_domains,0.036988719920100284,3.6988719920100284
weekend_query_ratio,0.033859985615270066,3.3859985615270065
domain_entropy,0.03179661189523217,3.179661189523217
query_burstiness,0.03164167190900105,3.164167190900105
domain_diversity_ratio,0.02497853796622948,2.497853796622948
qtype_28_ratio,0.02300219797049467,2.300219797049467
max_query_interval,0.019590219919611934,1.9590219919611935
top_domain_ratio,0.017932566310460883,1.7932566310460882
time_span_hours,0.012174388531992545,1.2174388531992546
qtype_1_ratio,0.010385163410945033,1.0385163410945033
time_span_seconds,0.008050514149508855,0.8050514149508855
cluster,0.005509808606474317,0.5509808606474317
active_days,0.005370355339131488,0.5370355339131488
active_hours,0.0013325983157050033,0.13325983157050034
median_query_interval,0.0003992799697425757,0.03992799697425757
is_weekend,2.420615457426128e-05,0.002420615457426128
day_of_week,1.0684615258824829e-05,0.001068461525882483
hour,5.13384070997976e-06,0.0005133840709979759
qtype,3.054239001894531e-07,3.054239001894531e-05
min_query_interval,0.0,0.0
