k,inertia,silhouette_score
2,593.0741626666492,0.2768004139479427
3,442.5083655526187,0.3095701835437119
4,367.59580650616147,0.3199496656175182
5,326.3617372308804,0.253864182613865
6,272.4927842477095,0.19537581945193272
7,237.4231432173744,0.20297835428820252
8,201.114681497451,0.20978284945513795
9,169.85888427238444,0.2351412218594532
10,139.38091616881752,0.24963233906639415
11,112.38626952581814,0.2596598149077714
12,88.24973357186775,0.2956652122476484
13,74.69501359930462,0.2861701239328795
14,65.8463646095316,0.2874590746668999
15,54.968851094864505,0.2594695128046713
16,46.87456306944335,0.3012363710470952
17,38.10064210407831,0.32026410105679337
18,32.38774808006989,0.3124736503697283
19,25.392213604142402,0.3023861041250653
20,18.718595438087593,0.3053085430342438
21,14.949394947014842,0.3010017548563675
22,11.841807413855662,0.2849646854382135
23,8.873162975043643,0.2682355481660354
24,6.330682328821384,0.2692843846321261
25,4.36884903965179,0.26199070129205904
26,2.7473010916769876,0.24025630298858033
27,1.6770314079866302,0.22492672400145286
28,0.9830727521957239,0.20387729269562102
29,0.3651031462564811,0.17285220397673384
30,0.0023214063705385905,0.12336295303097708
